image_path,split,article_id,color_group,fabric_group,color_label,fabric_label,pattern_flag,h,s,v,wash_temp_c,wash_cycle,spin_rpm,wash_notes,wash_cycle_label
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0757805010_0.jpg,train,757805010,LIGHT,COTTON,0,0,0,0.8473750014396396,0.0927135307327197,0.8997496421343385,30,normal,1000,Turn inside out if printed or dark. Wash with light colors.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0694131021_0.jpg,train,694131021,COLORFUL,COTTON,2,0,1,0.1130960062647884,0.0271852659488839,0.8197701350909483,30,normal,900,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0669412003_0.jpg,train,669412003,COLORFUL,SYNTHETIC,2,4,1,0.6204270419335705,0.0196360383064355,0.7245382998162313,30,synthetic/easy-care,900,Good for anti-crease program if available. Wash with similar bright colors. Do not overload the drum.,3
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0698838002_0.jpg,train,698838002,COLORFUL,COTTON,2,0,1,0.1616973975983915,0.01122320885824,0.7349252883573172,30,normal,900,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0702778002_0.jpg,train,702778002,COLOR,COTTON,3,0,0,0.5853739185027573,0.3333639503004104,0.7397149931657623,30,normal,1000,Turn inside out if printed or dark. Wash with similar colors.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0665539002_0.jpg,train,665539002,LIGHT,COTTON,0,0,0,0.1101602614469364,0.0046313522830188,0.9082857074427012,30,normal,1000,Turn inside out if printed or dark. Wash with light colors.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0660401004_0.jpg,train,660401004,DARK,COTTON,1,0,0,0.2021484706920079,0.1733369333610565,0.3933004984436365,30,normal,800,Turn inside out if printed or dark. Wash with similar dark colors. Use color-care detergent.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0698618005_1.jpg,train,698618005,COLORFUL,COTTON,2,0,1,0.6025442265348813,0.4740551926097773,0.5060688273415508,30,normal,900,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0746945003_0.jpg,train,746945003,COLORFUL,COTTON,2,0,1,0.6960199407735465,0.3459600137849382,0.5685243012542287,30,normal,900,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0734540001_0.jpg,train,734540001,COLOR,COTTON,3,0,0,0.4069396899055723,0.2227651504745789,0.7043181928788727,30,normal,1000,Turn inside out if printed or dark. Wash with similar colors.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0739851002_0.jpg,train,739851002,LIGHT,COTTON,0,0,0,0.5065154787644343,0.0132786455910315,0.7522913459997653,30,normal,1000,Turn inside out if printed or dark. Wash with light colors.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0747196003_0.jpg,train,747196003,DARK,SYNTHETIC,1,4,0,0.642347307993165,0.1178984396888703,0.3607668449187713,30,synthetic/easy-care,800,Good for anti-crease program if available. Wash with similar dark colors. Use color-care detergent.,3
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0711957001_0.jpg,train,711957001,COLORFUL,COTTON,2,0,1,0.2677656749792579,0.0521183706864984,0.8676731560053668,30,normal,900,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0706445003_0.jpg,train,706445003,COLORFUL,COTTON,2,0,1,0.1811835868861662,0.1528561946847632,0.6874361032480465,30,normal,900,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1
